,BAMLCC0A0CMTRIV,BAMLHYH0A0HYM2TRIV,CORESTICKM159SFRBATL,GS1,GS10,GS30,GS5,PCEPI,PCEPILFE,T10Y2YM,UNRATE
FEDFUNDS,-244.19145066690015,-92.17739231075583,0.07131113739171685,2.353389990918551,1.0980401052722375,0.5854307420071098,1.6616446911992258,-3.8039915826619897,-3.5386322751933545,-0.9057821375556008,-0.8890795817345135
FEDDT,-41.3178496001706,-10.639809851532027,,,,,,,0.0967118517762316,,
TREAST,328.64862492934293,193.34857936124436,,,,,,1.4236354352665566,1.6455596676029518,,
TREAS10Y,10.72562191594464,22.513359705532213,,,,,,3.746030611197143,3.256729547947033,,
TREAS1T5,114.28270648979324,30.48195169814847,,,,,,1.7934801970207859,1.6219148740490503,,
TREAS5T10,-33.81433734109919,-34.13784664334146,,,,,,,,,
TREAS911Y,68.96998638393138,21.277404075644387,,,,,,,,,
MBS10Y,-170.5044896844728,-104.56059928459408,,,,,,-1.9054375621117057,-1.7306002625507748,,0.8833197203974629
Neutral,-23.89728389143986,,,,,,,-0.412680053368141,,,
Positive,14.528440968536618,11.929502367092894,,,,,,,,,
Sentiment,-44.1289198378315,-4.042405515731547,,,,,,,,,
Polarity,-137.18498590157913,-50.08169917847595,,,,,,-0.7242854622171769,-0.5096186037241807,,
Subjectivity,-24.00605578825255,-7.7265927056227675,,,,,,-1.0193469583224803,-0.9653359990393331,,
FEDFUNDS_MA_24,55.28918036424545,22.03406900581575,0.3052944511732785,,,,,0.38051909149862634,0.1381283966999896,,
FEDDT_MA_24,-159.135939935922,-34.08833960817157,-0.2157341171532952,,0.31567655993007393,0.11260846435772619,0.26133455808579004,-3.1182032363176213,-0.8977294373435105,0.0006613310584305259,
M1SL_MA_24,890.6172297514961,417.15106475262934,,,-0.6131542036407496,-1.1701712870661494,-0.26822614263638805,17.503044272531668,17.087101616530994,-0.14908083489808807,
TREAST_MA_24,-1277.1126749251555,-978.0848172564157,,,,,,-20.912463540314096,-20.08034645392181,,
TREAS10Y_MA_24,432.01600247456315,310.1721478756618,,-0.06903739794969642,-0.08362824690266445,,-0.11448256077652069,3.513248927397585,5.864772843615108,,
TREAS5T10_MA_24,831.9626163628591,618.0765348100146,-0.16069943630950145,-0.06985780294275654,,,-0.23678002865205308,12.793498071225226,10.81868001628375,,0.5737071781555123
TREAS911Y_MA_24,-301.6666153917612,-9.2070743790679,,,0.38294815488770817,0.6463674669666867,0.18129640819357856,-6.865324268037592,-5.97200119352874,,
MBS10Y_MA_24,653.9316331368738,405.59009258997054,-0.20299989668815088,,,,,10.1434539524682,7.927755084170637,,
Neutral_MA_24,1047.4158534792236,446.64185378122403,,,,-0.40102118334407844,,12.817209015903611,12.347225668408761,-0.09792351863048189,
Polarity_MA_24,211.37788204792207,82.62203778669402,,,-0.3082942816228094,-0.3498763340484098,-0.00024169265604169208,,,-0.13531538821254124,
Subjectivity_MA_24,-487.75464897462376,-294.0588544387342,,,0.2717523590312977,0.6555897621849008,,-6.331202762848493,-6.571234774821127,0.3135798730276473,
FEDD10Y_MA_24,,-74.17456244069199,-0.31217295518118426,,,,,,,0.23644500532890894,1.9136230432974337
Negative_MA_24,,-181.49999130666964,-0.019232012555353332,,,,,-3.601871927933816,-3.6582740002504606,,1.6084215079108553
Sentiment_MA_24,,,,0.05552850906100905,,0.1505048083036674,,,,,-0.2153276477260899
Positive_MA_24,,,,,0.6427292115766313,0.31930897289482213,0.4815367936642652,,,0.44547111528874445,
Negative,,,,,,,,0.1872583414981593,0.361440623834174,,0.25888210529845196
TREAS1T5_MA_24,,,,,,,,,,,0.5005755464565332
