,0.01,0.02,0.03,0.04,0.05,0.060000000000000005,0.06999999999999999,0.08,0.09
5,-261.1474534094711,-269.0959015859396,-267.82988378415376,-274.2963650397409,-274.22553337742926,-260.5878287335511,-263.18798287975665,-269.13350042669464,-272.0091178350516
6,-265.3415973900499,-269.2908537591744,-276.71920097867735,-269.3496256400638,-270.4281102935742,-260.3518368303554,-263.12751212492805,-268.67842861459917,-270.71411688032816
7,-268.38837416276715,-261.41476326585365,-273.7720629450401,-270.0692012626148,-271.8604364845815,-256.6621528611129,-262.2466133038095,-268.1862635871504,-270.1355900081692
8,-266.07332161162407,-258.2829406800141,-280.26963311327614,-270.9336793080729,-273.0863468068347,-257.93655533690907,-262.42747634762765,-268.40846837899056,-270.15035848202007
9,-272.1856138034815,-261.14428217346773,-282.07284194346084,-272.4999583333613,-272.55376623394903,-257.86219862796344,-262.4274763476277,-268.4084683789905,-270.15035848202
10,-271.87294447500005,-255.31253468619823,-281.4940836504386,-271.81380628887354,-272.5537662339491,-257.86219862796344,-262.4274763476277,-268.40846837899056,-270.15035848201995
11,-270.5134775686179,-256.33413749405315,-281.09635572309105,-271.81380628887354,-272.5537662339491,-257.8621986279635,-262.4274763476276,-268.4084683789905,-270.15035848202007
12,-269.762924713749,-256.0431602015008,-281.09635572309105,-271.8138062888735,-272.55376623394903,-257.86219862796344,-262.4274763476276,-268.40846837899056,-270.15035848202007
13,-270.33295058966854,-256.0431602015009,-281.09635572309105,-271.81380628887354,-272.55376623394903,-257.86219862796355,-262.4274763476277,-268.40846837899045,-270.15035848201995
14,-270.2857997533433,-256.0431602015008,-281.09635572309105,-271.8138062888735,-272.55376623394903,-257.8621986279635,-262.42747634762765,-268.4084683789905,-270.15035848202007
15,-270.28579975334327,-256.0431602015008,-281.0963557230911,-271.8138062888735,-272.55376623394903,-257.86219862796355,-262.4274763476276,-268.4084683789905,-270.15035848202007
16,-270.28579975334327,-256.0431602015008,-281.0963557230911,-271.8138062888735,-272.55376623394903,-257.86219862796355,-262.4274763476277,-268.4084683789905,-270.15035848202007
17,-270.28579975334327,-256.0431602015009,-281.09635572309105,-271.8138062888735,-272.55376623394903,-257.86219862796344,-262.4274763476276,-268.4084683789905,-270.15035848202007
